,Player,Match_played,Starts,Minutes_played,Gls,Ast,Shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,non_penalty_goals,penalty_goal,CrdY,CrdR,pass_comp,pass_attempt,pass_comp%,tackles_made,successful_tackles,Blocks,interceptions,clearence,Err,Touches,successful_dribbles,dribbles_attempted,successful_dribbles%,fouls_commited,fouls_drawn,offside,crosses,penalty_kick_won,penalty_kick_conceded,own_goal,aerial_duo_won,aerial_duo_lost,Pos,Age,Club_country,Club,Team,Cleansheets,Shots saved
450,Ferjani Sassi,2,0,48,0,0,1,0,0,0,0,0,1,0,25,34,73.5,2,0,1,1,0,0,40,2,3,66.7,1,1,0,0,0,0,0,2,0,"MF,DF",30,Qatar,Al Duhail SC,Tunisia,0,
451,Taha Yassine Khenissi,2,0,29,0,0,1,0,0,0,0,0,1,0,2,6,33.3,0,0,0,0,0,0,8,0,0,0,3,1,0,0,0,0,0,1,2,FW,30,kw,Kuwait SC,Tunisia,0,
452,Ghaylène Chaalali,1,0,17,0,0,0,0,0,0,0,0,0,0,3,4,75,0,0,1,2,1,0,12,0,0,0,1,0,0,0,0,0,0,1,0,MF,28,Tunisia,Espérance de Tunis,Tunisia,0,
453,Hannibal Mejbri,1,0,11,0,0,0,0,0,0,0,0,0,0,2,2,100,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,MF,19,England,Birmingham City,Tunisia,0,
454,Luis Chávez,3,3,270,1,0,10,4,0.1,0.25,1,0,0,0,99,139,71.2,1,0,6,1,3,0,171,2,6,33.3,3,8,0,19,0,0,0,5,5,MF,26,mx,Pachuca,Mexico,0,
455,Jesús Gallardo,3,3,270,0,0,1,0,0,0,0,0,0,0,93,134,69.4,9,5,5,1,10,0,170,3,4,75,4,1,0,9,0,0,0,1,0,DF,27,mx,Monterrey,Mexico,0,
456,César Montes,3,3,270,0,1,1,0,0,0,0,0,0,0,159,197,80.7,6,3,0,2,11,0,222,2,2,100,4,0,0,0,0,0,0,7,5,DF,25,mx,Monterrey,Mexico,0,
457,Héctor Moreno,3,3,270,0,0,1,0,0,0,0,0,1,0,165,195,84.6,2,1,2,1,4,0,210,0,0,0,3,3,0,0,0,1,0,5,8,DF,34,mx,Monterrey,Mexico,0,
458,Guillermo Ochoa,3,3,270,0,0,0,0,0,0,0,0,0,0,93,109,85.3,0,0,0,0,0,0,111,0,0,0,0,1,0,0,0,0,0,0,0,GK,36,mx,América,Mexico,1,3
459,Hirving Lozano,3,3,252,0,0,6,3,0,0,0,0,0,0,42,77,54.5,7,2,4,0,1,0,113,5,10,50,7,11,2,24,0,0,0,1,10,FW,26,Italy,Napoli,Mexico,0,
460,Alexis Vega,3,3,193,0,0,9,2,0,0,0,0,0,0,40,56,71.4,0,0,1,1,2,0,83,1,4,25,2,6,4,6,0,0,0,1,5,FW,24,mx,Guadalajara,Mexico,0,
461,Edson Álvarez,2,2,175,0,0,1,1,0,0,0,0,1,0,86,114,75.4,3,2,1,4,2,0,131,1,1,100,4,1,1,0,0,0,0,11,5,MF,24,Netherlands,Ajax,Mexico,0,
462,Jorge Eduardo Sánchez,2,2,175,0,0,1,1,0,0,0,0,1,0,69,87,79.3,1,0,2,3,8,0,115,1,4,25,5,1,2,2,0,0,0,3,2,DF,24,Netherlands,Ajax,Mexico,0,
463,Héctor Herrera,2,2,160,0,0,0,0,0,0,0,0,1,0,64,78,82.1,4,3,1,3,0,0,92,0,1,0,4,1,0,4,0,0,0,6,2,MF,32,America,Houston Dynamo,Mexico,0,
464,Henry Martín,2,2,146,1,0,4,2,0.25,0.5,1,0,0,0,13,20,65,1,1,2,2,1,0,36,1,1,100,3,3,2,0,0,0,0,3,2,FW,29,mx,América,Mexico,0,
465,Néstor Araujo,1,1,90,0,0,0,0,0,0,0,0,1,0,44,53,83,1,1,0,3,1,0,60,0,0,0,2,0,0,2,0,0,0,0,0,DF,30,mx,América,Mexico,0,
466,Orbelín Pineda,1,1,76,0,0,4,1,0,0,0,0,0,0,18,25,72,4,3,2,0,0,0,47,0,2,0,2,4,0,0,0,0,0,0,2,MF,26,Greece,AEK Athens,Mexico,0,
467,Kevin Álvarez,2,1,70,0,0,0,0,0,0,0,0,0,0,19,29,65.5,1,0,2,1,2,0,38,1,3,33.3,0,1,0,1,0,0,0,0,2,DF,23,mx,Pachuca,Mexico,0,
468,Andrés Guardado,1,1,41,0,0,0,0,0,0,0,0,0,0,11,16,68.8,4,2,0,0,1,0,23,0,0,0,1,0,0,0,0,0,0,0,0,MF,35,Spain,Betis,Mexico,0,
469,Uriel Antuna,3,0,77,0,0,2,1,0,0,0,0,0,0,12,20,60,4,3,1,0,0,0,33,0,1,0,0,1,2,7,0,0,0,0,2,"FW,MF",24,mx,Cruz Azul,Mexico,0,
470,Raúl Jiménez,3,0,59,0,0,0,0,0,0,0,0,0,0,20,32,62.5,0,0,0,1,1,0,37,0,0,0,1,1,0,2,0,0,0,3,0,FW,31,England,Wolves,Mexico,0,
471,Erick Gutiérrez,1,0,49,0,0,0,0,0,0,0,0,1,0,24,29,82.8,1,1,0,2,1,0,35,0,1,0,2,3,0,0,0,0,0,1,0,MF,26,Netherlands,PSV Eindhoven,Mexico,0,
472,Charly Rodríguez,2,0,34,0,0,0,0,0,0,0,0,0,0,21,30,70,0,0,2,0,0,0,36,2,2,100,1,1,0,1,0,0,0,0,1,MF,25,mx,Cruz Azul,Mexico,0,
473,Roberto Alvarado,1,0,18,0,0,0,0,0,0,0,0,1,0,5,10,50,0,0,0,0,0,0,12,0,1,0,1,0,0,2,0,0,0,1,0,FW,23,mx,Guadalajara,Mexico,0,
474,Rogelio Funes Mori,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,FW,31,mx,Monterrey,Mexico,0,
475,Toby Alderweireld,3,3,270,0,1,0,0,0,0,0,0,0,0,248,273,90.8,4,2,3,0,19,0,302,0,0,0,0,0,0,2,0,0,0,1,2,DF,33,Belgium,Antwerp,Belgium,0,
476,Timothy Castagne,3,3,270,0,0,0,0,0,0,0,0,0,0,176,202,87.1,7,4,1,2,4,0,231,0,2,0,3,1,0,3,0,0,0,2,3,DF,26,England,Leicester City,Belgium,0,
477,Thibaut Courtois,3,3,270,0,0,0,0,0,0,0,0,0,0,108,123,87.8,0,0,0,0,0,1,130,1,1,100,0,0,0,0,0,0,0,0,0,GK,30,Spain,Real Madrid,Belgium,2,9
478,Kevin De Bruyne,3,3,270,0,0,7,2,0,0,0,0,0,0,93,136,68.4,1,1,2,0,3,0,167,4,8,50,0,2,0,18,0,0,0,4,0,"FW,MF",30,England,Manchester City,Belgium,0,
479,Jan Vertonghen,3,3,270,0,0,2,0,0,0,0,0,0,0,238,269,88.5,0,0,2,5,12,0,294,0,0,0,0,6,0,0,0,0,0,11,5,DF,35,Belgium,Anderlecht,Belgium,0,
480,Axel Witsel,3,3,270,0,0,1,0,0,0,0,0,0,0,169,177,95.5,4,2,5,4,6,0,200,0,0,0,5,4,0,0,0,0,0,4,2,MF,33,Spain,Atlético Madrid,Belgium,0,
481,Thomas Meunier,3,2,211,0,0,3,1,0,0,0,0,1,0,110,147,74.8,6,6,1,2,5,0,173,1,3,33.3,4,1,0,6,0,0,0,2,3,DF,30,Germany,Dortmund,Belgium,0,
482,Leander Dendoncker,2,2,161,0,0,1,0,0,0,0,0,1,0,119,122,97.5,6,3,4,0,5,0,144,0,1,0,3,0,0,0,0,0,0,2,1,"DF,MF",27,England,Aston Villa,Belgium,0,
483,Michy Batshuayi,2,2,151,1,0,6,2,0.17,0.5,1,0,0,0,16,24,66.7,1,0,1,0,0,0,42,1,3,33.3,5,1,2,0,0,0,0,1,2,FW,28,Turkey,Fenerbahçe,Belgium,0,
484,Eden Hazard,3,2,124,0,0,1,1,0,0,0,0,0,0,46,58,79.3,0,0,1,1,0,0,70,5,10,50,0,7,0,1,0,0,0,1,1,MF,31,Spain,Real Madrid,Belgium,0,
485,Yannick Carrasco,2,2,116,0,0,4,0,0,0,0,0,1,0,39,46,84.8,5,4,2,1,4,0,67,1,3,33.3,1,2,0,2,0,1,0,0,0,"FW,DF",28,Spain,Atlético Madrid,Belgium,0,
486,Thorgan Hazard,2,1,106,0,0,0,0,0,0,0,0,0,0,40,58,69,3,2,4,0,0,0,70,0,2,0,2,2,1,9,0,0,0,0,3,FW,29,Germany,Dortmund,Belgium,0,
487,Amadou Onana,2,1,104,0,0,2,0,0,0,0,0,2,0,58,64,90.6,4,1,1,0,0,0,76,1,1,100,4,3,0,0,0,0,0,2,0,MF,20,England,Everton,Belgium,0,
488,Leandro Trossard,3,1,103,0,0,0,0,0,0,0,0,0,0,43,57,75.4,1,1,1,0,0,0,68,0,4,0,0,2,0,2,0,0,0,0,0,"FW,MF",27,England,Brighton,Belgium,0,
489,Youri Tielemans,3,1,95,0,0,0,0,0,0,0,0,0,0,53,64,82.8,3,1,4,2,0,0,77,0,0,0,2,1,0,1,0,0,0,2,1,MF,25,England,Leicester City,Belgium,0,
490,Dries Mertens,2,1,76,0,0,3,1,0,0,0,0,0,0,22,33,66.7,2,0,0,0,0,0,39,1,1,100,0,0,0,5,0,0,0,0,0,"MF,FW",35,Turkey,Galatasaray,Belgium,0,
491,Romelu Lukaku,2,0,55,0,0,5,2,0,0,0,0,0,0,6,9,66.7,0,0,0,0,1,0,16,1,1,100,1,0,0,0,0,0,0,1,0,FW,29,Italy,Inter,Belgium,0,
492,Jeremy Doku,1,0,19,0,0,0,0,0,0,0,0,0,0,8,14,57.1,0,0,0,0,0,0,17,2,4,50,0,1,0,3,0,0,0,0,1,"MF,FW",20,France,Rennes,Belgium,0,
493,Charles De Ketelaere,1,0,16,0,0,0,0,0,0,0,0,0,0,3,4,75,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3,FW,21,Italy,Milan,Belgium,0,
494,Loïs Openda,1,0,13,0,0,0,0,0,0,0,0,0,0,3,5,60,1,0,1,0,0,0,10,1,1,100,0,1,0,1,0,0,0,0,1,FW,22,France,Lens,Belgium,0,
495,Lawrence Ati-Zigi,3,3,270,0,0,0,0,0,0,0,0,0,0,54,78,69.2,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,GK,25,Switzerland,St,Ghana,0,0
496,Thomas Partey,3,3,270,0,0,2,0,0,0,0,0,0,0,146,176,83,9,5,8,0,8,0,219,3,3,100,3,2,0,1,0,0,0,6,3,MF,29,England,Arsenal,Ghana,0,
497,Mohammed Salisu,3,3,270,1,0,2,1,0.5,1,1,0,0,0,109,151,72.2,2,1,5,3,17,0,184,0,0,0,6,1,0,0,0,1,0,8,8,DF,23,England,Southampton,Ghana,0,
498,Iñaki Williams,3,3,270,0,0,2,0,0,0,0,0,0,0,29,42,69,4,2,3,0,2,0,63,1,1,100,4,3,1,1,0,0,0,1,3,FW,27,Spain,Athletic Club,Ghana,0,
499,Daniel Amartey,3,3,251,0,0,1,0,0,0,0,0,2,0,128,141,90.8,6,4,4,3,12,0,172,1,1,100,3,1,0,0,0,0,0,5,4,DF,27,England,Leicester City,Ghana,0,
500,Salis Abdul Samed,3,3,250,0,0,1,0,0,0,0,0,0,0,129,145,89,2,2,2,4,8,0,170,3,4,75,5,2,0,2,0,0,0,0,3,MF,22,France,Lens,Ghana,0,
501,Kudus Mohammed,3,3,247,2,0,8,4,0.25,0.5,2,0,1,0,62,87,71.3,5,4,4,1,0,0,119,10,15,66.7,3,5,1,6,1,0,0,0,4,"FW,MF",21,Netherlands,Ajax,Ghana,0,
502,André Ayew,3,3,198,1,0,1,1,1,1,1,0,1,0,30,37,81.1,4,1,1,0,3,0,61,0,2,0,2,6,1,0,0,0,0,3,13,"MF,FW",32,Qatar,Al Sadd SC,Ghana,0,
503,Baba Rahman,3,2,183,0,0,0,0,0,0,0,0,0,0,66,100,66,5,3,1,1,3,1,121,1,5,20,7,1,0,11,0,0,0,2,4,DF,27,England,Reading,Ghana,0,
504,Alidu Seidu,2,2,155,0,0,1,0,0,0,0,0,2,0,59,78,75.6,6,4,5,0,3,0,101,4,6,66.7,5,5,0,6,0,0,0,1,0,DF,22,France,Clermont Foot,Ghana,0,
505,Jordan Ayew,3,2,136,0,1,1,1,0,0,0,0,0,0,35,46,76.1,3,3,0,1,1,0,67,1,7,14.3,2,5,0,8,0,0,0,0,5,FW,30,England,Crystal Palace,Ghana,0,
506,Tariq Lamptey,2,1,102,0,0,1,0,0,0,0,0,1,0,21,34,61.8,3,1,1,1,4,0,51,0,3,0,3,2,0,3,0,0,0,0,1,DF,21,England,Brighton,Ghana,0,
507,Alexander Djiku,2,1,97,0,0,0,0,0,0,0,0,0,0,22,28,78.6,1,1,0,2,9,0,43,0,0,0,0,2,0,0,0,0,0,2,0,"DF,FW",27,France,Strasbourg,Ghana,0,
508,Gideon Mensah,1,1,87,0,1,0,0,0,0,0,0,0,0,36,46,78.3,1,1,1,2,5,0,59,0,0,0,0,0,0,1,0,0,0,4,2,DF,23,France,Auxerre,Ghana,0,
509,Osman Bukari,2,0,59,1,0,3,1,0.33,1,1,0,0,0,14,20,70,0,0,0,1,1,0,30,0,2,0,1,1,0,1,0,0,0,1,2,MF,23,rs,Red Star,Ghana,0,
510,Kamaldeen Sulemana,2,0,58,0,0,1,1,0,0,0,0,1,0,10,19,52.6,0,0,0,0,2,0,30,1,5,20,2,2,0,4,0,0,0,2,1,FW,20,France,Rennes,Ghana,0,
511,Daniel Kyereh,3,0,33,0,0,0,0,0,0,0,0,0,0,18,23,78.3,2,2,0,0,4,0,31,2,2,100,0,0,0,5,0,0,0,0,1,"MF,DF",26,Germany,Freiburg,Ghana,0,
512,Antoine Semenyo,2,0,20,0,0,1,0,0,0,0,0,0,0,1,2,50,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,1,4,"FW,MF",22,England,Bristol City,Ghana,0,
513,Denis Odoi,1,0,13,0,0,0,0,0,0,0,0,0,0,2,2,100,1,0,2,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,4,DF,34,Belgium,Club Brugge,Ghana,0,
514,Abdul Fatawu Issahaku,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,FW,18,Portugal,Sporting CP,Ghana,0,
515,Saud Abdulhamid,3,3,270,0,0,1,0,0,0,0,0,1,0,88,122,72.1,5,2,3,2,6,0,154,2,4,50,7,5,0,9,0,1,0,4,6,"DF,MF",22,Saudi Arabia,Al-Hilal,Saudi Arabia,0,
516,Salem Al-Dawsari,3,3,270,2,0,6,4,0.33,0.5,2,0,1,0,86,111,77.5,5,4,1,1,2,0,151,2,10,20,3,3,0,3,0,0,0,1,1,MF,30,Saudi Arabia,Al-Hilal,Saudi Arabia,0,
517,Mohamed Kanno,3,3,270,0,0,6,1,0,0,0,0,0,0,119,147,81,6,2,3,2,7,0,187,5,10,50,8,3,1,0,0,0,0,8,9,"MF,FW",27,Saudi Arabia,Al-Hilal,Saudi Arabia,0,
518,Mohammed Al-Owais,3,3,270,0,0,0,0,0,0,0,0,1,0,57,100,57,0,0,0,0,4,0,113,0,0,0,0,3,0,0,0,0,0,2,0,GK,30,Saudi Arabia,Al-Hilal,Saudi Arabia,0,
519,Firas Al-Buraikan,3,3,268,0,1,2,0,0,0,0,0,0,0,42,63,66.7,3,3,5,2,4,0,93,1,7,14.3,2,3,1,2,0,0,0,5,7,"MF,FW",22,Saudi Arabia,Al-Fateh,Saudi Arabia,0,
520,Saleh Al-Shehri,3,3,223,1,0,2,2,0.5,0.5,1,0,1,0,29,47,61.7,3,1,3,0,2,0,74,0,2,0,6,5,0,1,1,0,0,6,7,FW,28,Saudi Arabia,Al-Hilal,Saudi Arabia,0,
521,Ali Al-Bulaihi,3,3,216,0,0,0,0,0,0,0,0,1,0,78,97,80.4,4,2,1,3,1,0,110,0,0,0,1,1,0,0,0,0,0,3,3,DF,32,Saudi Arabia,Al-Hilal,Saudi Arabia,0,
522,Abdulelah Al-Amri,3,2,182,0,0,1,0,0,0,0,0,2,0,74,104,71.2,1,0,2,4,10,0,130,0,0,0,3,3,0,1,0,0,0,10,4,DF,25,Saudi Arabia,Al-Nassr,Saudi Arabia,0,
523,Hassan Al Tambakti,2,2,180,0,0,0,0,0,0,0,0,1,0,40,55,72.7,4,2,3,3,6,0,76,0,0,0,2,5,0,0,0,0,0,1,1,DF,23,Saudi Arabia,Al-Shabab,Saudi Arabia,0,
524,Abdulellah Al-Malki,2,2,174,0,0,2,0,0,0,0,0,2,0,66,84,78.6,3,1,3,2,4,1,104,0,0,0,8,4,0,1,0,0,0,0,1,MF,27,Saudi Arabia,Al-Hilal,Saudi Arabia,0,
525,Sultan Al-Ghanam,3,1,126,0,0,2,0,0,0,0,0,0,0,34,52,65.4,0,0,3,2,3,0,71,0,2,0,2,0,1,7,0,0,0,0,0,"DF,MF",28,Saudi Arabia,Al-Nassr,Saudi Arabia,0,
526,Yasser Al-Shahrani,1,1,89,0,0,0,0,0,0,0,0,0,0,13,29,44.8,3,1,0,6,6,0,44,0,0,0,1,0,0,1,0,0,0,0,0,DF,30,Saudi Arabia,Al-Hilal,Saudi Arabia,0,
527,Mohammed Al-Breik,2,1,65,0,0,2,1,0,0,0,0,0,0,39,48,81.3,1,0,2,1,4,0,56,0,0,0,0,1,0,2,0,0,0,1,4,DF,29,Saudi Arabia,Al-Hilal,Saudi Arabia,0,
528,Ali Al Hassan,1,1,45,0,0,1,0,0,0,0,0,1,0,4,7,57.1,2,1,2,0,1,0,15,0,0,0,2,0,0,1,0,0,0,0,0,MF,25,Saudi Arabia,Al-Nassr,Saudi Arabia,0,
529,Sami Al-Najei,1,1,45,0,0,0,0,0,0,0,0,0,0,13,21,61.9,0,0,1,0,0,0,26,0,0,0,0,0,0,5,0,0,0,0,1,MF,25,Saudi Arabia,Al-Nassr,Saudi Arabia,0,
530,Salman Al-Faraj,1,1,44,0,0,0,0,0,0,0,0,0,0,12,16,75,1,0,2,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,MF,32,Saudi Arabia,Al-Hilal,Saudi Arabia,0,
531,Nawaf Al Abed,2,0,88,0,0,2,0,0,0,0,0,1,0,33,39,84.6,0,0,0,1,0,0,51,1,2,50,2,2,0,2,0,0,0,0,1,MF,32,Saudi Arabia,Al-Shabab,Saudi Arabia,0,
532,Riyadh Sharahili,1,0,54,0,0,0,0,0,0,0,0,0,0,14,17,82.4,0,0,1,2,4,0,29,1,2,50,4,0,0,0,0,0,0,1,1,MF,29,Saudi Arabia,Abha,Saudi Arabia,0,
533,Abdullah Madu,1,0,45,0,0,0,0,0,0,0,0,1,0,5,13,38.5,1,0,3,0,2,0,18,0,0,0,1,0,0,0,0,0,0,1,1,"DF,MF",28,Saudi Arabia,Al-Nassr,Saudi Arabia,0,
534,Abdulrahman Al-Aboud,2,0,35,0,0,1,0,0,0,0,0,0,0,8,13,61.5,3,3,0,0,0,0,23,0,3,0,0,0,0,2,0,0,0,1,1,"MF,DF",27,Saudi Arabia,Al-Ittihad,Saudi Arabia,0,
535,Nasser Al-Dawsari,1,0,5,0,0,0,0,0,0,0,0,0,0,11,11,100,2,1,0,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,FW,23,Saudi Arabia,Al-Hilal,Saudi Arabia,0,
536,Hattan Bahebri,2,0,4,0,1,0,0,0,0,0,0,1,0,4,7,57.1,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,1,0,MF,29,Saudi Arabia,Al-Shabab,Saudi Arabia,0,
537,Asiri Haitham,1,0,2,0,0,0,0,0,0,0,0,0,0,1,2,50,0,0,2,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,1,FW,21,Saudi Arabia,Al-Ahli,Saudi Arabia,0,
538,Majid Hosseini,3,3,270,0,0,0,0,0,0,0,0,1,0,86,106,81.1,7,4,3,6,11,0,137,0,0,0,4,1,1,0,0,0,0,6,4,DF,25,Turkey,Kayserispor,IR Iran,0,
539,Morteza Pouraliganji,3,3,270,0,0,2,0,0,0,0,0,1,0,92,128,71.9,2,2,5,6,10,0,156,0,0,0,5,1,0,2,1,0,0,9,6,DF,30,ir,Persepolis,IR Iran,0,
540,Mehdi Taremi,3,3,270,2,1,5,1,0.2,1,1,1,0,0,58,78,74.4,4,3,5,2,3,0,122,1,9,11.1,5,4,1,0,0,0,0,5,7,FW,29,Portugal,Porto,IR Iran,0,
541,Ehsan Hajsafi,3,3,237,0,0,1,0,0,0,0,0,0,0,61,98,62.2,6,3,3,2,2,0,121,0,2,0,1,3,0,11,0,0,0,2,0,"MF,DF",32,Greece,AEK Athens,IR Iran,0,
542,Ahmad Nourollahi,3,3,223,0,0,5,1,0,0,0,0,0,0,35,54,64.8,4,3,3,6,8,0,85,1,2,50,2,0,0,3,0,0,0,1,0,MF,29,Dubai,Al-Ahli Dubai FC,IR Iran,0,
543,Milad Mohammadi,3,3,196,0,0,0,0,0,0,0,0,0,0,44,68,64.7,10,3,2,1,6,0,94,0,1,0,2,1,0,2,0,0,0,3,3,DF,28,Greece,AEK Athens,IR Iran,0,
544,Saeid Ezatolahi,3,2,217,0,0,3,1,0,0,0,0,0,0,66,88,75,6,1,3,2,4,0,116,0,1,0,2,5,0,4,0,0,0,6,4,MF,25,Denmark,Vejle BK,IR Iran,0,
545,Ali Gholizadeh,3,2,199,0,1,1,0,0,0,0,0,0,0,46,72,63.9,0,0,5,3,2,0,88,4,8,50,3,1,2,4,0,0,0,0,1,"MF,FW",26,Belgium,Charleroi,IR Iran,0,
546,Ramin Rezaeian,2,2,180,1,0,2,1,0.5,1,1,0,1,0,73,105,69.5,7,5,1,3,2,0,130,1,1,100,2,3,0,11,0,0,0,1,6,DF,32,ir,Sepahan,IR Iran,0,
547,Sardar Azmoun,3,2,126,0,0,5,3,0,0,0,0,0,0,18,30,60,0,0,0,0,1,0,40,0,1,0,1,1,1,0,0,0,0,4,5,FW,27,Germany,Leverkusen,IR Iran,0,
548,Alireza Beiranvand,2,2,109,0,0,0,0,0,0,0,0,0,0,20,31,64.5,0,0,0,0,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0,GK,29,ir,Persepolis,IR Iran,0,
549,Hossein Hosseini,2,1,161,0,0,0,0,0,0,0,0,0,0,23,47,48.9,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,1,1,GK,29,ir,Esteghlal,IR Iran,1,3
550,Ali Karimi,3,1,99,0,0,0,0,0,0,0,0,0,0,34,45,75.6,3,3,0,3,1,0,55,0,0,0,4,1,0,2,0,0,0,3,2,MF,28,Turkey,Kayserispor,IR Iran,0,
551,Sadegh Moharrami,1,1,90,0,0,0,0,0,0,0,0,0,0,18,26,69.2,1,1,1,1,3,0,34,1,1,100,2,0,0,3,0,0,0,1,2,DF,26,hr,Dinamo Zagreb,IR Iran,0,
552,Alireza Jahanbakhsh,2,1,59,0,0,3,0,0,0,0,0,2,0,11,17,64.7,1,1,2,1,0,0,27,1,1,100,2,0,0,1,0,0,0,0,3,MF,28,Netherlands,Feyenoord,IR Iran,0,
553,Roozbeh Cheshmi,2,1,58,1,0,1,1,1,1,1,0,0,0,7,11,63.6,0,0,1,2,3,0,19,0,0,0,1,0,0,0,0,0,0,1,2,"DF,MF",28,ir,Esteghlal,IR Iran,0,
554,Mehdi Torabi,3,0,62,0,0,2,0,0,0,0,0,0,0,30,37,81.1,1,0,1,2,0,0,48,1,2,50,0,0,0,1,0,0,0,0,1,MF,27,ir,Persepolis,IR Iran,0,
555,Saman Ghoddos,1,0,45,0,0,1,0,0,0,0,0,0,0,15,20,75,1,0,0,0,0,0,24,0,0,0,1,0,0,2,0,0,0,0,1,MF,28,England,Brentford,IR Iran,0,
556,Hossein Kanaanizadegan,1,0,45,0,0,0,0,0,0,0,0,1,0,8,11,72.7,0,0,1,1,2,0,15,0,0,0,0,1,0,0,0,0,0,0,0,DF,28,Qatar,Al Ahli SC,IR Iran,0,
557,Karim Ansarifard,2,0,35,0,0,1,0,0,0,0,0,0,0,4,5,80,0,0,1,1,0,0,11,0,0,0,0,0,1,0,0,0,0,0,1,"FW,MF",32,cy,AC Omonia,IR Iran,0,
558,Abolfazl Jalali,1,0,19,0,0,0,0,0,0,0,0,1,0,20,29,69,0,0,0,0,1,0,34,1,5,20,1,4,0,2,0,0,0,0,0,DF,23,ir,Esteghlal,IR Iran,0,
559,Óscar Duarte,3,3,270,0,0,0,0,0,0,0,0,1,0,68,98,69.4,4,2,3,6,15,0,132,0,0,0,1,0,0,0,0,1,0,2,3,DF,33,Saudi Arabia,Al-Wehda,Costa Rica,0,
560,Keylor Navas,3,3,270,0,0,0,0,0,0,0,0,0,0,61,102,59.8,1,0,0,1,2,1,113,0,0,0,0,0,0,0,0,0,0,0,0,GK,35,France,Paris S-G,Costa Rica,1,10
561,Joel Campbell,3,3,269,0,0,1,0,0,0,0,0,1,0,104,138,75.4,9,5,3,0,4,0,176,6,13,46.2,3,11,3,7,0,0,0,5,6,"FW,MF",29,mx,León,Costa Rica,0,
562,Yeltsin Tejeda,3,3,269,1,1,2,2,0.5,0.5,1,0,0,0,78,99,78.8,4,2,7,1,7,0,129,0,2,0,0,2,0,0,0,0,0,4,2,MF,30,Costa Rica,Club Sport Herediano,Costa Rica,0,
563,Bryan Oviedo,3,3,260,0,0,0,0,0,0,0,0,0,0,67,89,75.3,6,5,3,3,7,0,114,0,2,0,2,4,1,2,0,0,0,2,0,DF,32,America,Real Salt Lake,Costa Rica,0,
